Symbol,Industry,Price,Previous Close,Volume average,Last trade time
ADAPTHEALTH CORP. (XNAS:AHCO),Healthcare Equipment & Supplies,19.91,20.01,1375308,7/10/2022 22:23
Akso Health Group (XNAS:AHG),Software & IT Services,0.87,0.89,12116,7/10/2022 20:00
"ARMADA HOFFLER PROPERTIES, INC. (XNYS:AHH)",Residential & Commercial REIT,10.42,10.56,363978,7/10/2022 23:44
ADVANCED HUMAN IMAGING LTD (XNAS:AHI),Software & IT Services,0.53,0.54,2553251,9/30/2022 21:21
ADRAD HOLDINGS LIMITED (XASX:AHL),#FIELD!,1.44,1.5,,7/10/2022 8:00
AVISTA PUBLIC ACQUISITION CORP. II (XNAS:AHPA),Holding Companies,10.27,10.26,107419,7/10/2022 20:00
AVISTA PUBLIC ACQUISITION II UNT (XNAS:AHPAU),#FIELD!,10.44,10.45,1490,7/10/2022 19:59
"ALLIED HEALTHCARE PRODUCTS, INC. (XNAS:AHPI)",Healthcare Equipment & Supplies,1.34,1.38,42411,7/10/2022 20:00
Ahren Acquisition Corp. (XNAS:AHRN),Holding Companies,10.07,10.06,77917,6/10/2022 20:00
"ASHFORD HOSPITALITY TRUST, INC. (XNYS:AHT)",Residential & Commercial REIT,6.85,6.99,502649,7/10/2022 23:10
AIB Acquisition Corporation (XNAS:AIB),Holding Companies,10.06,10.05,3690,6/10/2022 20:00
Arlington Asset Investment Corp. (XNYS:AIC),Investment Banking & Investment Services,23.65,23.92,2393,6/10/2022 23:00
Apollo Tactical Income (XNYS:AIF),#FIELD!,12.02,12.1,41122,7/10/2022 23:00
"AMERICAN INTERNATIONAL GROUP, INC. (XNYS:AIG)",Insurance,49.71,50.76,5191725,7/10/2022 23:00
AESTHETIC MEDICAL INTERNATIONAL HOLDINGS GROUP LIMITED (XNAS:AIH),Healthcare Providers & Services,1.61,1.7,5971,7/10/2022 20:00
SENMIAO TECHNOLOGY LIMITED (XNAS:AIHS),Specialty Retailers,0.85,0.92,94990,7/10/2022 20:00
AIKIDO PHARMA INC. (XNAS:AIKI),Biotechnology & Medical Research,6.92,6.84,153562,7/10/2022 20:00
AIM ImmunoTech Inc. (XNYS:AIM),Biotechnology & Medical Research,0.54,0.57,83476,8/10/2022 0:00
